# MALHEUR (0.5.4) - Automatic Analysis of Malware Behavior
# Copyright (c) 2009-2012 Konrad Rieck (konrad@mlsec.org)
# University of Goettingen, Berlin Institute of Technology
# ---
# Prototypes for reference_mist.tar.gz
# Number of prototypes: 332
# Compression of prototypes: 10.6 %
# Precision of prototypes: 94.7 %
# ---
# <report> <prototype> <distance>
refset/0058780b175c3ce5e244f595951f611b8a24bee2.CASINO refset/0058780b175c3ce5e244f595951f611b8a24bee2.CASINO 0.000345267
refset/0074696fd18e67ae1392787048de130f2bac80ea.ALLAPLE refset/135ab6d4fde54c928181819f67d2838aa9eeef57.ALLAPLE 0.340557
refset/0096a423f639efdadb8ce0081b2dc3d1ba9682c1.RBOT refset/d3988e4e2727c4dd37f68d0c3035203faf3e57f8.SPYGAMES 0.488318
refset/00be5951c5175533f7ab4521e4ad7326ff80b983.ALLAPLE refset/135ab6d4fde54c928181819f67d2838aa9eeef57.ALLAPLE 0.310794
refset/00c4fa8e267207bf44f8918607a640c9478ecb8a.PODNUHA refset/39cd410ca6955649b7e0e096ae6b000278501332.PODNUHA 0.327906
refset/00d4d72cbad273037aa6569605d4f9efd9be6199.PODNUHA refset/39cd410ca6955649b7e0e096ae6b000278501332.PODNUHA 0.327906
refset/01100d08cb8dba2495e7b243279d5dd37c168aa1.LOOPER refset/01100d08cb8dba2495e7b243279d5dd37c168aa1.LOOPER 0.000347954
refset/011728ab05423be2ee63c0dfd0224ee8dce811c5.ALLAPLE refset/135ab6d4fde54c928181819f67d2838aa9eeef57.ALLAPLE 0.321898
refset/011e71afb60483285ec3facc07582bf24fd61b91.ADULTBROWSER refset/b9c47d6e5247dd629325ce23bc9f4afd9b988ca3.ADULTBROWSER 0.117882
refset/0154d2260503deeae0f092808e9ad98771323ed4.VAPSUP refset/8b0d3257ce581fffdb97ed3e3208c2e28d490b57.VAPSUP 0.35342
refset/0155623d58adfe3b4f66d140cd568a1c3aa66745.ALLAPLE refset/135ab6d4fde54c928181819f67d2838aa9eeef57.ALLAPLE 0.317269
refset/015ff0593aa36b48ab2ba0210f0fbe9a91fa3dc0.ROTATOR refset/6b3d2f6c10d62ca0006abac0fb80377f979cf29f.ROTATOR 0.525635
refset/0165df9c39296ca28c68594455e95f4ef8b5a93d.BANCOS refset/0e2ab5a0306a5d68a01ba5e693d6f16110f25497.BANCOS 0.302235
refset/01864fda52c1ffc47eb11aeda63e5792335a7cdd.LOOPER refset/01864fda52c1ffc47eb11aeda63e5792335a7cdd.LOOPER 0.000398485
refset/01cfbc10619d93120617d23996b7aa8672a89245.WOIKOINER refset/a98177333fd90d7708107322bc4ed99f33cc9d62.WOIKOINER 0.343513
refset/01d4bdc799a2fbcf4d9e8344c7cc04430836d4a1.ADULTBROWSER refset/b9c47d6e5247dd629325ce23bc9f4afd9b988ca3.ADULTBROWSER 0.126685
refset/01daf13d0cd3080eeef4e35339b382565d73a811.VIKING_DLL refset/422c7f0655a7ceff4860b7031efc48dfa4198098.VIKING_DLL 0.142965
refset/01ff92165a17beab32384bc92275f3b32013c99a.LOOPER refset/01ff92165a17beab32384bc92275f3b32013c99a.LOOPER 0
refset/02145fb4686f7b7e5f674f602227ba2521c30af5.PODNUHA refset/39cd410ca6955649b7e0e096ae6b000278501332.PODNUHA 0.327906
refset/0219f3c1193eb8dfd4d5f5498677b3e9af63f4e0.LOOPER refset/0219f3c1193eb8dfd4d5f5498677b3e9af63f4e0.LOOPER 0.000112129
